YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 10 12 288  2.7  3.6  2.09 11.11  6.77 265 1030.5  12.2  12.1 999.0 99.0
96 01 10 13 247  1.1  1.9  2.14 11.11  7.03 270 1030.4  12.1  12.1 999.0 99.0
96 01 10 14 167  1.2  1.7  1.92 11.11  6.96 269 1030.4  12.1  12.1 999.0 99.0
96 01 10 15 155  5.5  6.8  2.11 10.00  7.36 273 1030.7  12.1  12.1 999.0 99.0
96 01 10 16 164  5.3  6.8  2.20 11.11  6.97 257 1031.1  12.0  12.1 999.0 99.0
96 01 10 17 188  4.6  5.5  1.97 11.11  6.86 264 1030.8  12.1  12.1 999.0 99.0
96 01 10 18 172  5.2  6.4  2.07 10.00  7.17 264 1031.4  12.2  12.1 999.0 99.0
96 01 10 19 165  4.5  5.4  2.09 11.11  7.30 271 1031.9  12.5  12.1 999.0 99.0
96 01 10 20 165  3.7  4.5  1.96 10.00  7.45 273 1032.0  12.6  12.1 999.0 99.0
96 01 10 21 138  2.7  3.5  2.14  9.09  7.59 274 1031.9  12.6  12.1 999.0 99.0
96 01 10 22 132  3.2  4.3  2.11 11.11  7.70 276 1030.6  12.5  12.1 999.0 99.0
96 01 10 23 132  2.0  3.4  2.43 11.11  7.99 280 1030.9  12.2  12.1 999.0 99.0
96 01 11 00 108  1.9  3.2  2.54 11.11  8.36 283 1031.1  12.2  12.1 999.0 99.0
96 01 11 01 180   .0   .6  2.24 11.11  7.96 284 1031.6  12.3  12.1 999.0 99.0
96 01 11 02  97   .7  1.7  2.57  9.09  7.93 276 1031.6  12.1  12.1 999.0 99.0
96 01 11 03  82  2.3  3.9  3.13 11.11  8.74 294 1031.1  12.5  12.1 999.0 99.0
96 01 11 04  85  3.4  5.5  2.97 10.00  8.72 287 1030.8  12.6  12.1 999.0 99.0
96 01 11 05 109  2.0  3.6  3.10 11.11  8.83 297 1030.3  12.5  12.1 999.0 99.0
96 01 11 06 206   .1   .9  2.75 10.00  8.58 286 1030.5  12.5  12.1 999.0 99.0
96 01 11 07  30  1.3  1.9  3.12 11.11  9.12 286 1030.4  12.1  12.1 999.0 99.0
96 01 11 08  52  1.5  2.8  2.69 12.50  8.75 287 1030.2  12.0  12.1 999.0 99.0
96 01 11 09  40  1.9  2.8  2.64 14.29  8.64 309 1030.1  11.8  12.1 999.0 99.0
96 01 11 10  20  3.2  3.8  2.74 12.50  8.84 290 1029.8  12.1  12.1 999.0 99.0
96 01 11 11  59  4.0  5.3  2.86 12.50  9.22 305 1028.9  12.0  12.0 999.0 99.0
96 01 11 12  35  3.1  5.1  2.90 12.50  9.71 303 1028.9  11.8  12.0 999.0 99.0
96 01 11 13  43  3.3  4.8  2.59 12.50  9.19 292 1028.8  11.7  12.0 999.0 99.0
96 01 11 14  42  4.0  5.3  2.72 12.50  9.29 293 1028.4  11.7  11.9 999.0 99.0
96 01 11 15  68  4.5  5.6  2.81 12.50  9.26 293 1028.5  11.4  11.8 999.0 99.0
